sentence,predicted,correct_label
Black women make the best wives. You can't see their bruises.,0,1.0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1.0
This is an unbelievable statistic: 18% of all statistics are falsely inflated 106% of the time.,0,1.0
"U2 are one of Ireland's most successful bands. Or according to their tax returns, one of Netherlands' least successful hardware store owners.",0,1.0
"Every time spellcheck corrects “does” to “dies”, for a split second I panic that the subject of the sentence that has passed away",0,1.0
You know it's time to move on when she develops an immunity to Rohypnol.,0,1.0
"The horse favored to win the Kentucky Derby had to pull out of the race. Apparently, someone dug up some of his homophobic tweets.",0,1.0
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1.0
You shouldn't bully someone in a wheelchair - they can't stand up for themselves.,0,1.0
A disadvantage of being gay is that you never get to see the grateful stare of a women you've just released.,0,1.0
"A long time ago, I thought of a soda joke. I'd share it with you, but I'm afraid I think it'd fall flat.",0,1.0
I open my phone and read your text. The news is so horrific and heartbreaking I have no idea how to respond. I type 'my condolences' into the GIF search.,0,1.0
"When you want someone to get out of your way, establish dominance by saying 'ex-squeeze me'",0,1.0
"Gay guys don't listen to girls talk either, but we do have the good sense to say ""I know, right?!"" while we wait for our turn to talk.",0,1.0
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1.0
"My Jewish friend always had such a positive outlook on life, even as he suffered from such horrible constipation. As he'd always say, ... This two shall pass.",0,1.0
When you smoke marijuana on a boat it's called sea weed. Thanks for following and stay tuned for more of these great tweets.,0,1.0
I hate it when people don't know the difference between your and you're. There so stupid.,0,1.0
Michelle’s speech will be the ASMR video that lulls me to sleep for the next year.,0,1.0
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1.0
"After God created 24 hours of alternating darkness and light, one of the angels asked him, ""what are you going to do now?"" God said, ""I think I'm going to call it a day.""",0,1.0
The other day I brought myself a universal remote and thought to myself well this changes everything.,0,1.0
They all laughed when I told them that one day I would discover the secrets of invisibility. If only they could see me now.,0,1.0
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir ""Yes, Please."" Not all at once obviously. That would be chaos.",0,1.0
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, ""Of course I must say something. After all, he is coming to rescue me.""",0,1.0
Santa works one night a week then spends the rest of the year cranking out his podcast.,0,1.0
take more than 5 minutes to respond to a text and she will think you are not paying attention to her,0,1.0
What wine pairs best with doing your taxes?,0,1.0
"Nearly half of every single one of my paychecks gets taken by a group who doesn't want anyone to hold them accountable, doesn't understand the value of a dollar, and who get more expensive every year. I am of course talking about my children.",0,1.0
"Years from now, historians will look back on this period of American History and move to Canada.",0,1.0
Do the people of Denmark appreciate the fact that their nationality is also a delicious treat?,0,1.0
"Justice is best served cold. Because if it were served warm, it would be justwater.",0,1.0
There is nothing wrong with exploring one's sexuality--and that is my message to the California Highway Patrol.,0,1.0
There's nothing worse than people online who feel they can just command others to discuss a topic they bring up. Discuss.,0,1.0
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you ""just be yourself"". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1.0
"Have to remember my stocked fridge is to last my family for weeks, not a challenge for me to finish all in one day 🙄",0,1.0
Twins and mama bear are napping... Time to practice my COD skills so I could stop being a burden to teams ¥º.... .....oooh I hurt my own feelings ­,0,1.0
did you know you can tell how much a girl likes you by the position of their feet Chances are if her feet are next to her ears she really likes you.,0,1.0
"One unintended consequence of unprotected sex is that sometimes, 6 years later, a small child is forced to learn the recorder.",0,1.0
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1.0
"WHEN SOMETHING BAD HAPPENS TO SOMEONE I LIKE: This universe is a cruel and random place. There is no cosmic justice. WHEN SOMETHING BAD HAPPENS TO SOMEONE I DON'T LIKE: Karma strikes again, baby!!!",0,1.0
"A Mormon president would face the most difficult issue any president has. Deciding who's the First Lady, who's the Second Lady, and who's the Third Lady.",0,1.0
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1.0
Where are average things manufactured? The satisfactory.,0,1.0
"Being an adult means eating what you want when you want. But it also means realizing you're not capable of making healthy choices, so you get a personal trainer to make a meal plan for you. But when he does you say 'No one is telling me what to eat. Screw that guy. I'm an adult'.",0,1.0
"I'm not afraid of butterflies, but they do make me feel nervous.",0,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1.0
How do you navigate holidays like father's day in queer relationships where the bio dad isn't involved? Auntie Red Tweet Tea,0,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1.0
"You never hear parents say they regret having kids, but you also never see them smile, laugh, or be happy either.",0,1.0
Met gayla.,0,1.0
"Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",0,1.0
"Girls look back at your wedding photos, if you are fatter than that, he is not happy..",0,1.0
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1.0
My therapist won't validate my parking but he will validate my feelings about it.,0,1.0
The Old Testament is the historical record of the first time we Jews controlled the media.,0,1.0
You wouldn't call me lazy if you saw the long list of things I did in order to avoid being productive.,0,1.0
